sql_mestre,setor,quadra,lote,nome_bem,endereco_mestre,distrito,proprietario,fonte_dono,tipo_zepec,esfera,estado_venda,certeza,negociavel,motivo_negociavel,sinais_revisar,m2_ja_transferido,n_transferencias,conjunto_certidao,valor_pecuniario_rs,status_fundurb,intercorrencia_fundurb,base_periodo_fundurb_rs,tem_declaracao,tem_certidao,esgotado,elegibilidade_conservacao,data_declaracao_iso,data_certidao_iso,data_tombamento_iso,data_ref,origens,obs,area_terreno_m2,area_construida_m2,valor_m2_terreno_iptu,v_outorga_m2_q14,v_outorga_max_q14,zona,ca_basico,fi_aplicado,fsce_aplicado,pcpt_m2,saldo_pcpt_m2,parcelas_anuais,preco_proxy_brl,uso_iptu,cobertura_oficial,memoria_calculo,pendencia_calculo,regime_pcpt,qualidade_estimativa
0200670033,020,067,0033,"Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 445, 449","Rua Dr Cândido Espinheira, 449",Barra Funda,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2019-06-12,,2023-08-16,2023-08-16,DECLARACAO_BIR+TOMBADO_CADASTRO,,378,394,7395.00,6116.28,10591.40,ZM,1,1.2,,453.60,453.60,,2774344.61,Loja,IPTU2026+Q14+Zona,PCpt = Atc(378) × CAbas(1) × Fi(1.2) = 453.60 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$10591.40/m² (face atual: R$6116.28/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0200360016,020,036,0016,Bairro de Perdizes / Edificação Na Rua Parintins,"Rua Parintins, 120",Barra Funda,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2023-10-09,,2023-08-16,2023-10-09,DECLARACAO_BIR+TOMBADO_CADASTRO,,161,140,6370.00,3652.64,3972.56,ZM,1,1.2,,193.20,193.20,,705690.05,Loja,IPTU2026+Q14+Zona,PCpt = Atc(161) × CAbas(1) × Fi(1.2) = 193.20 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$3972.56/m² (face atual: R$3652.64/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0210280059,021,028,0059,Bairro de Perdizes / Edificação Na Rua Dona Germaine Burchard 458,"Rua Dona Germanie Burchard, 458",Barra Funda,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2023-06-13,,2023-08-16,2023-08-16,DECLARACAO_BIR+TOMBADO_CADASTRO,,335,240,7142.00,4587.21,4587.21,ZEU,1,1.2,,402.00,402.00,,1844058.42,Residência,IPTU2026+Q14+Zona,PCpt = Atc(335) × CAbas(1) × Fi(1.2) = 402.00 m²,"FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0090190006,009,019,0006,Bairro da Bela Vista,"Alameda Joaquim Eugênio de Lima, 164",Bela Vista,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2014-07-29,,2002-12-14,2014-07-29,DECLARACAO_BIR+TOMBADO_CADASTRO,,1336,378,9316.00,8239.85,8547.18,ZEU,1,1.0,,1336.00,1336.00,,11008439.60,Residência,IPTU2026+Q14+Zona,PCpt = Atc(1336) × CAbas(1) × Fi(1.0) = 1336.00 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8547.18/m² (face atual: R$8239.85/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0090190033,009,019,0033,Bairro da Bela Vista,"Rua dos Franceses, 324",Bela Vista,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2016-04-20,,2002-12-14,2016-04-20,DECLARACAO_BIR+TOMBADO_CADASTRO,,1270,659,13540.00,8547.18,8547.18,ZEU,1,1.0,,1270.00,1270.00,,10854918.60,Residência,IPTU2026+Q14+Zona,PCpt = Atc(1270) × CAbas(1) × Fi(1.0) = 1270.00 m²,"FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0090160031,009,016,0031,,"Alameda Rio Claro, 191",Bela Vista,,,BIR,,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2025-01-17,,,2025-01-17,DECLARACAO_BIR,,,,,,,,,,,,,,,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),JA_DECLARADO,PENDENTE_FI_DECLARADO
0090160032,009,016,0032,,"Alameda Rio Claro, 191",Bela Vista,,,BIR,,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2025-01-17,,,2025-01-17,DECLARACAO_BIR,,,,,,,,,,,,,,,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),JA_DECLARADO,PENDENTE_FI_DECLARADO
0090210039,009,021,0039,Bairro da Bela Vista,"Rua Treze de Maio, 734",Bela Vista,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2017-01-13,,2002-12-14,2017-01-13,DECLARACAO_BIR+TOMBADO_CADASTRO,,218,180,6053.00,4572.10,7116.34,ZM,1,1.2,,261.60,261.60,,1196061.36,"Outras edificações de uso comercial, com utilização múltipla",IPTU2026+Q14+Zona,PCpt = Atc(218) × CAbas(1) × Fi(1.2) = 261.60 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7116.34/m² (face atual: R$4572.10/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0090170056,009,017,0056,Bairro da Bela Vista,"Rua Silvia, 203, 4",Bela Vista,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2018-07-28,,2002-12-14,2018-07-28,DECLARACAO_BIR+TOMBADO_CADASTRO,,60,80,7319.00,4734.58,5353.01,ZM,1,1.2,,72.00,72.00,,340889.76,Residência,IPTU2026+Q14+Zona,PCpt = Atc(60) × CAbas(1) × Fi(1.2) = 72.00 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$5353.01/m² (face atual: R$4734.58/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
0090210044,009,021,0044,Bairro da Bela Vista,"Rua Treze de Maio, 692",Bela Vista,,,BIR/tombado,municipal,INTACTO,alta,sim,declarou/vendeu (prova de negociabilidade),,,,,,,,,sim,nao,nao,SEM_ATESTADO,2019-09-11,,2002-12-14,2019-09-11,DECLARACAO_BIR+TOMBADO_CADASTRO,,210,200,6053.00,4572.10,7116.34,ZM,1,1.2,,252.00,252.00,,1152169.20,"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",IPTU2026+Q14+Zona,PCpt = Atc(210) × CAbas(1) × Fi(1.2) = 252.00 m²,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$7116.34/m² (face atual: R$4572.10/m²) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",JA_DECLARADO,PENDENTE_FI_DECLARADO
